cluster	rank	names	scores	logfoldchanges	pvals	pvals_adj
6	55	RAB31	13.785287	4.4575453	3.125231781781408e-43	2.0067826042979177e-40
6	56	MNDA	13.747388	5.629957	5.2801844527371284e-43	3.332069502666063e-40
6	57	SERPINF1	13.624259	2.7238152	2.8731175412894895e-42	1.7823555106565525e-39
6	58	CYBA	13.554915	2.1240497	7.409734418190977e-42	4.520061490670132e-39
6	59	MPEG1	13.510234	5.395227	1.360882390756613e-41	8.097676339415631e-39
6	60	ATP5F1E	13.335736	1.4258357	1.4343170149919363e-40	8.332926518368231e-38
6	61	LGALS9	13.330358	2.6032245	1.5415679718384943e-40	8.81608270894699e-38
6	62	C20orf27	13.164121	3.6563098	1.411707712592343e-39	7.949217536706515e-37
6	63	CLEC7A	13.156088	5.7199864	1.5700752987596178e-39	8.707019092409207e-37
6	64	PYCARD	13.09942	2.5933046	3.3178462290940716e-39	1.8124849228518227e-36
6	65	ARPC2	13.096225	1.6020348	3.460485437256997e-39	1.8626062866035788e-36
6	66	GSN	13.07797	2.3219867	4.400402197322106e-39	2.334190156872267e-36
6	67	RAB32	12.952466	4.603588	2.2752467712551936e-38	1.1896615296387335e-35
6	68	NAAA	12.945069	3.9691854	2.505382414706562e-38	1.2915422783193642e-35
6	69	ANXA5	12.901876	2.3232582	4.392693879152448e-38	2.233013731539705e-35
6	70	SRGN	12.861556	2.081117	7.407056443205837e-38	3.7137763407914633e-35
6	71	CTSS	12.777508	2.8476453	2.1897472907407263e-37	1.083066764708126e-34
6	72	CLEC9A	12.716605	7.4228644	4.7818525986981416e-37	2.3336078261993425e-34
6	73	PKM	12.696067	1.7698008	6.2177124831337125e-37	2.994401244673382e-34
6	74	FCGRT	12.679841	2.6619186	7.648705054718123e-37	3.635717580619974e-34
6	75	ARPC3	12.551249	1.4967023	3.9129025605911685e-36	1.836104443848684e-33
6	76	CTSZ	12.541716	3.883647	4.4133561487986645e-36	2.044724663318733e-33
6	77	PLEK	12.511914	3.561948	6.425712599922568e-36	2.939843835872074e-33
6	78	COX5A	12.454987	1.7537882	1.313742854348994e-35	5.936333606423152e-33
6	79	HLA-B	12.387318	2.0873916	3.0611332311886617e-35	1.3663480170089782e-32
6	80	RGS10	12.371743	1.7015588	3.716658594914033e-35	1.6389568823186567e-32
7	1	HLA-DRA	40.800888	5.2932878	0.0	0.0
7	2	CD74	39.97274	4.710418	0.0	0.0
7	3	MS4A1	38.841476	7.622693	0.0	0.0
7	4	HLA-DPA1	38.495792	4.755369	0.0	0.0
7	5	HLA-DQA1	36.763298	4.7292857	7.128429626691297e-296	5.218153055330564e-292
7	6	HLA-DPB1	36.283504	4.445825	2.9454337238428295e-288	1.79676366210619e-284
7	7	HLA-DQB1	35.9761	4.750123	1.9782517140738444e-283	1.0343712998116682e-279
7	8	HLA-DRB1	35.067444	4.482321	2.1143741266199388e-269	9.673525926052048e-266
7	9	CD79A	34.1547	4.482922	1.138674360160964e-255	4.630735584027938e-252
7	10	HLA-DRB5	33.55171	4.2917323	8.500569872842152e-247	3.1112935791589565e-243
7	11	CD79B	32.06263	5.5966887	1.4638456098663248e-225	4.870746651519759e-222
7	12	HLA-DMA	30.149048	3.9722745	1.103890066906515e-199	3.366956694903779e-196
7	13	CD37	29.312662	2.8184907	7.153029139483361e-189	2.013907842571004e-185
7	14	CD19	28.042217	8.090442	4.9703420946680665e-173	1.2994249357638993e-169
7	15	MEF2C	27.965973	4.322907	4.2154812021380217e-172	1.0286055165296915e-168
7	16	SYNGR2	26.844177	2.9520152	9.864002986896259e-159	2.2564523332711873e-155
7	17	NCF1	26.604837	3.4152074	5.967349306605239e-156	1.284770305712108e-152
7	18	IFI30	26.427267	3.7375362	6.660844822064291e-154	1.3544087851798616e-150
7	19	LAPTM5	25.878931	2.4174156	1.1500112014357122e-147	2.2153452623025528e-144
7	20	IGHM	25.779701	5.4738007	1.4978968449374776e-146	2.741226121077831e-143
7	21	HLA-B	25.470213	2.5802622	4.2162651905905505e-143	7.348548678133558e-140
7	22	CTSH	24.682384	3.2571776	1.6534042710668774e-134	2.7507386238781264e-131
7	23	CD83	23.751837	4.1123743	1.051746426940035e-124	1.673694390105749e-121
7	24	POU2F2	23.421215	4.855482	2.5983591291082665e-121	3.9626059368538192e-118
7	25	BANK1	23.313818	6.3899293	3.21072265118662e-120	4.7006263902432586e-117
7	26	CYBA	23.067253	2.2499225	9.873803502252959e-118	1.3384854888368908e-114
7	27	LAT2	23.04532	5.517876	1.638714211222835e-117	2.1420921016059638e-114
7	28	HLA-DMB	22.9364	4.2126274	2.014268089506238e-116	2.5422147015178558e-113
7	29	CD40	22.752642	3.7887242	1.3511210450565995e-114	1.64841271233722e-111
7	30	PSMB9	22.735865	2.1146169	1.980360550308546e-114	2.3381669839304224e-111
7	31	LSP1	22.484207	2.0161486	5.9249719261191855e-112	6.776871795871509e-109
7	32	HLA-C	22.163483	2.0518317	7.733141970331128e-109	8.324727331061459e-106
7	33	IRF7	22.091028	2.5825582	3.855263885161969e-108	4.031614670308949e-105
7	34	PRDX1	22.073597	2.0727246	5.669670511935208e-108	5.764322511315015e-105
7	35	HVCN1	22.02578	4.1831875	1.630784357156904e-107	1.6131983312513473e-104
7	36	CD53	21.94055	2.4435904	1.0660427808192135e-106	1.0267955742306325e-103
7	37	POLD4	21.515533	2.168028	1.1138874987661632e-102	1.0453691369830856e-99
7	38	TCL1A	21.412914	5.630312	1.0127608518375514e-101	9.267014984526556e-99
7	39	POU2AF1	21.214178	5.8658595	7.065154083060255e-100	6.307114746197278e-97
7	40	IRF8	21.185238	3.1848495	1.306663881633057e-99	1.1386953507536076e-96
7	41	CD24	21.070044	4.598077	1.4979484890353286e-98	1.2750328522600481e-95
7	42	IGKC	20.989727	4.524141	8.141190916306986e-98	6.772175652903455e-95
7	43	HERPUD1	20.950089	2.6806798	1.872858633805806e-97	1.52329997457614e-94
7	44	SPIB	20.86421	4.1522155	1.1325173053890167e-96	9.011144759683348e-94
7	45	MX1	20.813587	2.1292548	3.260137217029173e-96	2.5388145166060587e-93
7	46	HSH2D	20.785585	3.606128	5.84459874627694e-96	4.456628306510048e-93
7	47	BLNK	20.66562	5.3078985	7.064290260455221e-95	5.276736486182073e-92
7	48	ARPC1B	20.565884	1.7966616	5.547989957466702e-94	4.061239608664775e-91
7	49	FCRLA	20.53947	7.522263	9.559795709082419e-94	6.860746720551483e-91
7	50	SNX2	20.488342	2.526733	2.7355073344127024e-93	1.9254289220546025e-90
7	51	IFI44L	20.360458	2.6278017	3.750549387235586e-92	2.590072794758673e-89
7	52	HLA-DQA2	20.158	3.8028455	2.2894654381583285e-90	1.5517911944820922e-87
7	53	HLA-A	20.115284	1.8458567	5.422862558416644e-90	3.608767136374684e-87
7	54	RPL12	20.097769	1.2755184	7.718776143804489e-90	5.044909386417645e-87
7	55	FCER2	20.028439	6.8932433	3.112676896651942e-89	1.998720826216802e-86
7	56	COX5A	19.97267	1.8105124	9.522561539143541e-89	6.009228877486082e-86
7	57	HLA-DOB	19.957024	4.9283566	1.3024312986941024e-88	8.079709824322515e-86
7	58	PHACTR1	19.934666	5.410144	2.0366121353980022e-88	1.2423673461283712e-85
7	59	LYN	19.918262	4.164075	2.826287650530077e-88	1.695818922902481e-85
7	60	SWAP70	19.556105	3.1518495	3.6598843536498433e-85	2.1605714069022245e-82
7	61	CYB561A3	19.415323	3.2556214	5.727466553765064e-84	3.3274762434024617e-81
7	62	CD22	19.344141	7.5586095	2.2837667448219703e-83	1.3060647910504521e-80
7	63	CD52	19.251287	1.8155292	1.3769681687076333e-82	7.753601837364321e-80
7	64	RPL28	19.231367	0.89316946	2.022270933146413e-82	1.121471794304422e-79
7	65	ISG20	19.122618	2.0277526	1.6368385171017152e-81	8.941780084244758e-79
7	66	BCAS4	19.063787	3.5693173	5.048505784890329e-81	2.6779762352575497e-78
7	67	PKIG	19.061459	3.2807114	5.2782687649532185e-81	2.759855929515039e-78
7	68	GSTP1	19.02874	1.8175213	9.859481607988753e-81	5.082632201887273e-78
7	69	ARPC3	19.026186	1.4504825	1.0351978983074617e-80	5.262399760548806e-78
7	70	RGS1	18.979034	2.4687653	2.5422826514097353e-80	1.2746587304691468e-77
7	71	COTL1	18.874603	1.9215317	1.84505309668484e-79	9.12578221510295e-77
7	72	HLA-E	18.52333	1.7285988	1.3389256869357547e-76	6.534135875671408e-74
7	73	CTSS	18.512453	2.42237	1.6386770964661906e-76	7.891739527336717e-74
7	74	BST2	18.443497	1.7553015	5.881108058190918e-76	2.7955121563356594e-73
7	75	CD48	18.414766	1.9416705	1.0001956131845469e-75	4.693353799765077e-73
7	76	PARP1	18.341227	2.0103076	3.8794832347441623e-75	1.7973793148717859e-72
7	77	EVI2B	18.324326	2.6801405	5.293295840991208e-75	2.42174901345149e-72
7	78	RPL41	18.22051	0.7454705	3.5483043844164405e-74	1.6033517132595821e-71
7	79	CLIC1	18.142282	1.5078177	1.477645478559157e-73	6.595524653749232e-71
7	80	SP140	18.061903	4.5724688	6.359278912462217e-73	2.804288764759393e-70
8	1	CD1E	55.328957	4.8087673	0.0	0.0
8	2	CD8B	53.976494	4.4507246	0.0	0.0
8	3	AQP3	53.009224	4.222346	0.0	0.0
8	4	CD1B	49.38469	4.117211	0.0	0.0
8	5	CD99	49.02997	3.2396278	0.0	0.0
8	6	CD8A	48.44259	3.8359005	0.0	0.0
8	7	MZB1	48.377365	3.8769715	0.0	0.0
8	8	DNTT	47.219658	4.1101675	0.0	0.0
8	9	CD3E	45.28668	3.0523896	0.0	0.0
8	10	CD52	44.058037	3.1198661	0.0	0.0
8	11	TCF7	43.585308	3.1912675	0.0	0.0
8	12	RAG1	43.499985	3.8935196	0.0	0.0
8	13	GIHCG	43.31872	3.6816976	0.0	0.0
8	14	ELOVL4	42.907795	3.7729206	0.0	0.0
8	15	CD1C	42.726448	4.1155286	0.0	0.0
8	16	CD3D	42.42133	2.8898904	0.0	0.0
8	17	LTB	42.387882	3.1527035	0.0	0.0
8	18	CYP2U1	42.329918	3.7963834	0.0	0.0
8	19	ARPP21	41.91303	3.6468518	0.0	0.0
8	20	CD1A	41.740788	3.7151783	0.0	0.0
8	21	CD38	40.80045	3.2475188	0.0	0.0
8	22	MALAT1	40.43413	2.5165937	0.0	0.0
