cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
7	33	ZNF385D	20.761492	3.1293943	7.756890284509747e-93	0.03550295857988166
7	34	CLU	20.743532	3.0492237	1.0938833936755154e-92	0.22781065088757396
7	35	SNCG	20.723618	2.6936653	1.6073283987986183e-92	0.4881656804733728
7	36	NRN1	20.705364	2.9199123	2.2828266431143773e-92	0.05325443786982249
7	37	PCAT19	20.698689	2.5970197	2.5511582444543242e-92	0.047337278106508875
7	38	CCL14	20.663197	3.1239026	5.18398506357549e-92	0.0
7	39	JAM2	20.47031	2.6528285	2.6933771298734876e-90	0.23076923076923078
7	40	MYL12A	19.862083	1.6517154	5.744298530435213e-85	0.0
7	41	ETS2	19.820147	2.563362	1.2905839867376582e-84	0.0029585798816568047
7	42	HLA-B	19.736895	1.6937752	6.565372601407083e-84	0.029585798816568046
7	43	JUNB	19.724613	2.5495188	8.176182006899904e-84	0.04142011834319527
7	44	RPS4Y1	19.669481	2.6379366	2.373479675343618e-83	0.29289940828402367
7	45	RPS6	19.639427	0.97900736	4.1958219624229456e-83	0.22485207100591717
7	46	ICAM1	19.622622	3.2321086	5.713779971658498e-83	0.0
7	47	PLVAP	19.56559	2.5276258	1.714566403299519e-82	0.07100591715976332
7	48	PECAM1	19.465353	2.40819	1.1934103824571378e-81	0.04142011834319527
7	49	EMP1	19.409445	2.3119824	3.4755852579692224e-81	0.5118343195266272
7	50	IGFBP7	18.973875	2.1277936	1.4875146222821372e-77	0.363905325443787
8	1	HBA2	29.643583	9.222883	1.0881332642453215e-188	0.0
8	2	HBA1	29.563513	9.685706	5.838125210745687e-188	0.0
8	3	SLC25A37	28.976648	5.6037993	1.1454422957036042e-180	0.0
8	4	HBB	27.997171	8.091912	1.1661196598017047e-168	0.11437908496732026
8	5	HBG1	27.03745	8.045802	2.8457933105805103e-157	0.029411764705882353
8	6	ALAS2	26.760906	8.866748	4.074796371258843e-154	0.0
8	7	HBG2	26.099468	9.292794	1.40059977583296e-146	0.0032679738562091504
8	8	HBM	25.88338	8.645124	3.396900466594352e-144	0.0
8	9	BLVRB	25.635239	4.5223427	1.8201485337045793e-141	0.0
8	10	AHSP	25.320152	8.503367	5.082642167834427e-138	0.0
8	11	SNCA	24.460423	6.0525	7.952814640901232e-129	0.0032679738562091504
8	12	HEMGN	22.457935	8.491577	1.4194503097855523e-108	0.013071895424836602
8	13	GYPB	22.21239	9.215087	2.7653566449033536e-106	0.0032679738562091504
8	14	SLC4A1	21.705236	7.750658	1.7340137867939802e-101	0.0032679738562091504
8	15	GYPA	20.939037	8.937893	1.5277266177925378e-94	0.0
8	16	SLC25A39	19.893616	3.3163238	1.9455827610892897e-85	0.0
8	17	GYPC	18.941725	2.3530996	1.4425748607122969e-77	0.0
8	18	HMBS	18.286034	5.1607256	2.625371460149576e-72	0.08496732026143791
8	19	MYL4	17.808184	5.0577846	1.316498685581219e-68	0.006535947712418301
8	20	HBQ1	16.433525	7.738487	1.9078754311598324e-58	0.0
8	21	EPB42	16.269033	6.5216675	2.730781894619372e-57	0.0
8	22	FECH	16.244453	4.7808495	4.052789057969586e-57	0.0
